Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Choron Ka Chor,1970,-,-,-,-,hindi
Annadammula Anubandham,1975,-,7,6,Action            ,telugu
Tan Aggan,1999,124 min,-,-,"Drama, Thriller            ",hindi
Inttelligent,2018,130 min,3,256,"Action, Drama            ",telugu
Wrong Mauritius,2004,76 min,-,-,Family            ,hindi
Ee Yugam,1983,-,-,-,-,malayalam
Ka Kha Ga Gha,2018,136 min,8,61,Comedy            ,bengali
Bullet,1985,-,5.6,11,"Action, Family            ",telugu
The Thief of Baghdad,1969,-,6,8,"Action, Adventure, Drama            ",hindi
Mangaldip,1989,-,6.2,9,Drama            ,bengali
Yehi Hai Zindagi,1977,133 min,6.4,114,"Comedy, Drama            ",hindi
Shree Ganesh,1962,139 min,7.5,6,"Adventure, Drama, Fantasy            ",hindi
Prema Jhindabad,1990,-,-,-,Romance            ,telugu
Engal Kula Daivi,1959,-,-,-,-,tamil
Naya Sansar,1941,158 min,-,-,Drama            ,hindi
Crossroad,2017,168 min,5,34,Drama            ,malayalam
Howrah Bridge,1958,153 min,7,195,"Musical, Thriller            ",hindi
Dhamaka,1980,-,-,-,"Action, Thriller            ",hindi
S.H.E,2015,-,-,-,"Comedy, Drama, Family            ",urdu
Khooni Jaljala,2000,-,-,-,Horror            ,hindi
Har Har Mahadev,2002,-,-,-,Drama            ,hindi
Shola: Fire of Love,2004,111 min,-,-,"Action, Crime, Drama            ",hindi
Maryam Pereira,2018– ,-,8,7,"Drama, Romance            ",urdu
Duniya Ek Sarai,1946,-,-,-,-,hindi
Soda Goli Soda,2018,143 min,-,-,Drama            ,telugu
Gully Boy,2019,154 min,8,"32,807","Drama, Music, Romance            ",hindi
Chandni Chowk to China,2009,154 min,4.1,"7,969","Action, Comedy            ",hindi
Gully Gang,2020,98 min,8.4,46,Comedy            ,telugu
Aarani Mantalu,1980,-,5.6,10,"Family, Drama, Action            ",telugu
Parvati Kalyanam,1945,-,-,-,-,tamil
Villain,2012,-,-,-,Drama            ,kannada
Daana Paani,2018,105 min,7.9,516,Family            ,punjabi
Abhijaan,1962,150 min,8,"1,052",Drama            ,bengali
Memories ft. Nucleya & Papon,2016 Video,-,-,-,"Short, Music            ",assamese
Ganesha Meendum Santhipom,2019,-,3,10,Drama            ,tamil
Killikurushiyile Kudumba Mela,1997,-,4.9,7,Family            ,malayalam
Deuta Raja,2011,86 min,-,-,Drama            ,assamese
Chena Achena,1983,113 min,7.3,9,Romance            ,bengali
Haatim Tai,1990,125 min,5.8,304,"Drama, Fantasy, Romance            ",hindi
Ami Je Ke Tomar,2017,136 min,4.8,145,Romance            ,bengali
Shair,1949,138 min,7.1,21,Romance            ,hindi
Kanathaya Penkutty,1985,105 min,7,94,"Crime, Mystery            ",malayalam
Mian Biwi Razi,1982,-,-,-,Comedy            ,urdu
Like a Play,2014,121 min,-,-,Drama            ,bengali
Birjoo,1993,-,-,-,Action            ,hindi
Sriramudinta Srikrishnudanta,2017,129 min,7.2,33,"Drama, Romance            ",telugu
Love in A Taxi,2020,-,-,-,Crime            ,hindi
Nilaave Vaa,1998,139 min,5.8,141,"Action, Drama, Romance            ",tamil
NRI: Now Return to India,2013,-,-,-,Romance            ,telugu
Love In Anjengo,,62 min,-,-,Drama            ,tamil
Sharavegada Saradara,1989,-,-,-,-,kannada
Anand,1971,122 min,8.3,"31,300","Drama, Musical            ",hindi
Star Wars: Episode I - The Phantom Menace,1999,136 min,6.5,"740,452","Action, Adventure, Fantasy            ",sanskrit
Shanti Enathu Shanti,1991,-,4.7,6,-,tamil
Naarappa,2021,-,-,-,"Action, Drama            ",telugu
Maha Samudram,2021,-,-,-,Drama            ,telugu
Nanma,2007,-,-,-,-,malayalam
Parai Aag,1948,-,-,-,-,hindi
Pakka Commercial,2021,-,-,-,"Comedy, Crime            ",telugu
Dhakaiya Mastan,2002,-,6.5,10,Action            ,bengali
Shab,2017,108 min,4.3,218,"Drama, Romance            ",hindi
Gemini Ganesan,,122 min,-,-,Comedy            ,tamil
Society Girl,1976,98 min,3.2,31,Drama            ,urdu
Ittehad Ramzan,2018,-,-,-,Talk-Show            ,urdu
Shwethaa,2017,105 min,-,-,Drama            ,kannada
Ek Raat Shaitan Ke Saath,2004,-,2.4,12,Horror            ,hindi
Anumanaspadam,2007,-,6.5,28,Thriller            ,telugu
O Manasa,2018,-,-,-,-,telugu
Avidathepole Ivideyum,1985,127 min,7.3,68,"Drama, Family            ",malayalam
Ormayundo Ee Mukham,2014,-,5.6,271,"Drama, Romance            ",malayalam
Yaagagni,1987,-,-,-,-,malayalam
Paapi,1943,-,-,-,-,hindi
Chore,1956,-,-,-,-,bengali
Mazaa. A.A.,2005,-,-,-,Thriller            ,hindi
Bandhuaeen,,-,-,-,Thriller            ,hindi
Kalavu,2012,126 min,-,-,"Comedy, Drama, Family            ",hindi
The Man Who Would Be King,1975,129 min,7.8,"45,655","Adventure, History, War            ",oriya
Chaitrada Chandrama,2008,-,-,-,Drama            ,kannada
Aandal,2005,-,-,-,Drama            ,tamil
Ek Hota Valya,2016,-,-,-,Drama            ,marathi
Jab Se Dekha Hai Tumhay,1962,-,-,-,Musical            ,urdu
Olipporu,2013,109 min,3.1,40,"Drama, Fantasy            ",malayalam
 Mann Mayal,2016,-,8.1,36,"Drama, Romance            ",urdu
Masanada Hoovu (Flower of a Graveyard),2020,108 min,-,-,Drama            ,kannada
 Dirilis: Ertugrul,2014–2019,120 min,8.6,157,"Action, Adventure, Drama            ",urdu
Pichodi Pelli,1975,146 min,-,-,Drama            ,telugu
Saphalam,2003,-,4.8,8,Drama            ,malayalam
Ogo Bodhu Sundari,1981,120 min,7.2,133,Comedy            ,bengali
Uthaman,1976,-,5.2,6,Musical            ,tamil
Amman Kovil Vaasalile,1996,150 min,-,-,Drama            ,tamil
Jwlwi - The Seed,2019,90 min,7.8,21,Drama            ,assamese
Oppol,1980,143 min,7.3,35,Drama            ,malayalam
Addamlo Deyyam,2016,-,-,-,Thriller            ,telugu
Ninagai Nanu,1975,-,-,-,-,tamil
Kadhantharam,2016,-,5,5,Drama            ,malayalam
Chakradhari,1954,-,-,-,"Drama, Fantasy            ",hindi
Rojulu Marayi,1955,211 min,6.6,18,Drama            ,telugu
Ghajini,2008,186 min,7.3,"57,023","Action, Drama, Mystery            ",hindi
Protiruddho,2016,-,-,-,Action            ,bengali
Tulsidas,1954,-,6.6,14,"Drama, History, Romance            ",sanskrit
Panduga,1998,-,5,10,Family            ,telugu
Vatsalya,1965,-,7.8,13,-,kannada
Charminar,2013,147 min,6.9,51,Romance            ,kannada
Kaavalan,2011,155 min,6.7,"4,794","Action, Drama, Romance            ",tamil
Shankhanaad,2018,107 min,-,-,Action            ,kannada
John Jani Janardhan,1984,-,6.4,39,"Action, Comedy, Drama            ",hindi
Moham,1974,-,-,-,-,malayalam
Baazi,1951,143 min,7.3,321,"Crime, Drama, Musical            ",hindi
Teesri Kasam,1966,159 min,7.9,725,"Comedy, Drama, Romance            ",oriya
Goko Mako,2019,96 min,4.4,12,"Adventure, Comedy, Drama            ",tamil
Shrikrishna Rukmini,1949,-,-,-,-,gujarati
Aulad Ki Kasam,1997,-,2.8,26,-,urdu
Bharthavudyogam,2001,-,3.2,25,"Comedy, Drama            ",malayalam
Shukher Swargo,1996,-,-,-,Drama            ,bengali
Daari Tappida Maga,1975,138 min,7.6,100,"Crime, Drama            ",kannada
Devdas,1955,159 min,7.9,"1,705","Drama, Musical, Romance            ",hindi
Sindhooram,1997,144 min,7.4,215,"Action, Drama, Romance            ",telugu
Duranta Charai,1969,-,-,-,Drama            ,bengali
The Adventures of Sinbad,2013,110 min,-,-,Animation            ,hindi
Ayalaan,,-,-,-,"Comedy, Sci-Fi            ",kannada
Jhoola,1962,147 min,5.8,10,"Drama, Family            ",hindi
Pattanathil Sundaran,2003,147 min,4.7,163,"Comedy, Drama            ",malayalam
Bhayam,II 2019,114 min,-,-,"Horror, Thriller            ",malayalam
Tamasha,2015,139 min,7.3,"24,064","Comedy, Drama, Romance            ",hindi
Dhriksakshi,1973,-,-,-,-,malayalam
Shaheed,1948,164 min,7.2,74,"Drama, Romance            ",hindi
Aasra,II 2019,95 min,-,-,"Drama, Family, Romance            ",hindi
Mahananda,1987,130 min,7.6,21,Romance            ,hindi
Digest Writer,2014–2015,-,8.3,16,Drama            ,urdu
Devar,1966,156 min,7.2,81,"Crime, Drama, Romance            ",oriya
Morning Raga,2004,110 min,6.8,295,"Drama, Music            ",hindi
Tapana,2004,-,7.6,5,Romance            ,telugu
Bai Chale Sasariye,1988,151 min,6.3,55,Drama            ,rajastani
Nirwana,2014,55 min,7.6,8,Drama            ,bengali
Maassab (The Teacher),2021,116 min,9.9,104,Drama            ,hindi
Amar Kahani,1949,-,-,-,Romance            ,hindi
Surya Sakshi,1981,-,7.2,5,Drama            ,bengali
Prem,1995,167 min,4,215,"Action, Drama, Romance            ",hindi
Bhalobasar Anek Naam,2006,-,6.8,20,"Drama, Musical, Romance            ",bengali
Mukku,2020,25 min,-,-,"Short, Crime            ",malayalam
Guerrilla,2011,140 min,8.2,"2,588","Drama, History, War            ",bengali
Chimmanbhai Ni Chaal,2017,137 min,-,-,Drama            ,gujarati
A Mighty Heart,2007,108 min,6.6,"26,885","Biography, Drama, History            ",oriya
Bloody Psycho,2017,115 min,-,-,Thriller            ,hindi
Judge Mujrim,1997,137 min,4,66,"Action, Drama            ",hindi
Adam Joan,2017,160 min,6.5,"1,415","Romance, Thriller            ",malayalam
Tishnagi Dil Ki,2017–2018,40 min,-,-,"Drama, Family, Romance            ",urdu
Pooja Ke Phool,1964,161 min,7,42,"Musical, Drama, Family            ",hindi
Shareek,2015,137 min,7.3,455,"Drama, Family            ",punjabi
Rasaleela,2001,-,-,-,-,malayalam
Saradamba,1987,-,-,-,-,telugu
Eeshwar,1989,147 min,7.3,448,"Drama, Musical, Family            ",hindi
Mohabbat Key Sodagar,1992,-,-,-,Romance            ,urdu
Ungli,2014,114 min,5.7,"3,627","Crime, Drama, Thriller            ",hindi
Dharti,1943,-,-,-,Drama            ,hindi
Hocus Focus,,85 min,-,-,Thriller            ,hindi
Gayak,1987,-,6.2,10,Music            ,bengali
Ustad Pedro,1971,-,-,-,Action            ,hindi
Azhaipithazh,2008,135 min,-,-,Drama            ,tamil
City Girl' S Hostel,2002,-,-,-,Drama            ,hindi
Jhankar,1989,-,7.1,8,Drama            ,bengali
Sesher Kabita,1953,-,-,-,Drama            ,bengali
7th Lux Style Awards,2008 TV Special,-,-,-,Music            ,urdu
Daal Me Kala,1964,128 min,6,21,"Comedy, Drama            ",rajastani
Mitti Aur Sona,1989,163 min,4.9,34,"Action, Drama            ",hindi
Dhamachakari,2010,-,-,-,Drama            ,gujarati
Chintoo,2012,90 min,6.5,23,Family            ,marathi
Not Reachable,2021,-,-,-,-,hindi
The Outsider's Band: Maili,2016 Video,5 min,-,-,"Short, Music, Musical            ",nepali
Meri Dhoti Tera Ghagra,2001,-,-,-,Comedy            ,hindi
Kaun Kitney Pani Mein,1987,-,6.4,33,"Action, Thriller            ",hindi
Devi Durga Shakti,2001,-,5.6,14,Fantasy            ,hindi
Serndhu Polama,2015,115 min,4.6,18,Musical            ,tamil
Pakistan's Hidden Shame,2014,47 min,7.6,107,Documentary            ,oriya
Chaya Chobi,2013,-,8.5,34,Romance            ,bengali
Gaal Gulabi Nain Sharabi,1974,-,-,-,Romance            ,hindi
Vishwa Roopam,1980,-,4.4,17,"Action, Drama            ",tamil
Sabar Upare Maa,1997,146 min,-,-,Drama            ,bengali
Petral Than Pillayya,1966,-,6.9,16,-,tamil
Subramaniapuram,2008,145 min,8,"1,507","Action, Drama, Thriller            ",tamil
Gangster,2006,123 min,7.1,"5,540","Action, Crime, Drama            ",hindi
Sathya,II 2017,127 min,6.4,349,"Action, Crime, Thriller            ",tamil
Vyuha,2019,122 min,-,-,Thriller            ,kannada
Unakkum Enakkum,1972,-,-,-,-,tamil
Billi,1949,-,-,-,Action            ,hindi
Rehana,1946,-,-,-,-,urdu
Triyacharitra,1994,120 min,7.4,72,Drama            ,hindi
Razia Sultana,1961,-,6.5,16,Romance            ,hindi
Keka,2008,-,5.1,9,Romance            ,telugu
Loree,1972,-,-,-,Drama            ,hindi
Arvind Desai Ki Ajeeb Dastaan,1978,118 min,7.1,135,Drama            ,hindi
Punjab Bolda,2013,-,4.9,16,-,punjabi
Ek Phool Char Kante,1960,136 min,6.8,45,"Comedy, Drama, Romance            ",hindi
Amal,I 2017,87 min,-,-,"Crime, Drama, Fantasy            ",hindi
Pardesi Balam,1945,-,-,-,-,hindi
Free Hit Danka,2021,-,-,-,Romance            ,marathi
Saathiya,2002,138 min,6.8,"6,670","Drama, Family, Romance            ",hindi
Yakke Wali,1957,-,-,-,-,punjabi
Raja Shiv Chhatrapati,1974,-,-,-,Action            ,marathi
Amar Sangee,2008,128 min,4.9,8,Romance            ,bengali
Achoo Sheedi,2008,101 min,-,-,Crime            ,punjabi
Veta,1986,148 min,6.8,122,"Action, Adventure, Thriller            ",telugu
Bathil Solval Bathrakali,1986,-,-,-,-,tamil
Ameer Aadmi Gharib Aadmi,1985,-,5.4,19,Drama            ,hindi
In the Name of Love!,2020,52 min,-,-,"Documentary, Crime, News            ",malayalam
Bindiya Aur Bandook Part II,2003,139 min,-,-,Action            ,hindi
Minister Mahalakshmi,1981,131 min,-,-,Drama            ,telugu
Khoon Da Badla Khoon,1973,-,-,-,-,punjabi
Maha Shankarudu,2020,-,-,-,Drama            ,telugu
Jhoothi Shaan,1991,139 min,4.9,18,"Action, Drama            ",hindi
Ko Ko,2012,147 min,5.5,32,"Comedy, Drama, Romance            ",kannada
Mein Hoon Pyassi Suhagan,2001,-,-,-,"Action, Crime, Drama            ",hindi
Kachi Umar Mein,1998,89 min,-,-,Thriller            ,hindi
Paramapatham,2020,110 min,-,-,Fantasy            ,tamil
Veera Abhimanyu,1965,-,-,-,-,tamil
Jail Yatra,1981,-,6.6,39,"Action, Romance            ",hindi
The Legend King Lalityadiya,,-,-,-,History            ,hindi
Nagarahavu,2016,142 min,5.6,75,Fantasy            ,kannada
WWW,,-,-,-,Drama            ,telugu
Kal Nu,2020,-,-,-,Music            ,punjabi
Oruthee,,-,-,-,Drama            ,malayalam
Badmashon Ka Badmash,1979,-,-,-,Action            ,hindi
Grihapravesh,1954,-,5.8,5,Drama            ,bengali
Avvaiyyar,1953,174 min,7.2,43,"Drama, History            ",tamil
Anbu Thollai,2003,143 min,-,-,Drama            ,tamil
Zinda,2006,116 min,4.9,"3,274","Action, Drama, Mystery            ",hindi
Mutharamkunnu P.O.,1985,136 min,7,159,"Comedy, Drama, Romance            ",malayalam
 Alif Laila,1997–2002,-,-,-,"Adventure, Fantasy            ",urdu
Ring Master,2014,155 min,4.6,402,"Drama, Romance            ",malayalam
Hrudayagala Vishaya,2009,131 min,-,-,Drama            ,kannada
Mane Mane Kathe,1981,106 min,8.4,5,-,kannada
Qurbaani,,-,-,-,Thriller            ,malayalam
The Orange Anarkali,2018,-,-,-,"Short, Drama            ",urdu
Mahakavi Girish Chandra,1956,-,-,-,Drama            ,bengali
Aaj Ka Gang Leader,1993,-,5.8,28,Action            ,hindi
Karumpuli,2013,109 min,-,-,Drama            ,tamil
Supermen of Malegaon,2008,66 min,8,641,Documentary            ,oriya
Periya Thambi,1997,150 min,-,-,Drama            ,tamil
Ilaiyavan,2000,-,3,6,Musical            ,tamil
Kanchhi,2018,-,-,-,Romance            ,nepali
Ishqiya,2010,118 min,7.3,"10,006","Comedy, Drama, Romance            ",hindi
Namumkin,1988,-,6.6,41,"Drama, Mystery            ",hindi
Mahanisa,1956,98 min,-,-,Drama            ,bengali
Putra Vadhu,1982,-,-,-,Drama            ,gujarati
Umang,1989,-,-,-,"Romance, Thriller            ",hindi
Deuta Diya Bidai,2006,-,-,-,Drama            ,assamese
Pagla Ghonta,1999,-,7.3,10,"Action, Comedy, Drama            ",bengali
Made in India,,-,-,-,"Drama, Music, Thriller            ",telugu
Baghini Konna,1996,-,-,-,Action            ,bengali
Murasu,,122 min,-,-,Drama            ,tamil
Dakshayagnam,I 1962,157 min,8.3,28,"Drama, Musical            ",telugu
Jivan Sathi,2016,136 min,-,-,Drama            ,gujarati
Chandaneer,1989,130 min,6.2,6,Drama            ,bengali
Saamy Kodutha Varam,2000,-,-,-,Musical            ,tamil
Nala Damayanthi,2003,138 min,7.1,552,Comedy            ,tamil
Sataracha Salman,,-,-,-,Family            ,marathi
Fashionable Wife,1959,-,5.4,5,"Drama, Family            ",hindi
Manmadha Saranghal,1991,-,-,-,-,malayalam
Nayika Sangbad,2013,125 min,5.6,21,"Drama, Romance            ",bengali
Jagde Rehna,1972,-,-,-,Crime            ,punjabi
Mela,1980,123 min,7.6,47,Drama            ,malayalam
Angel John,2009,130 min,2.7,316,"Comedy, Drama, Fantasy            ",malayalam
Zor: Never Underestimate the Force,1998,157 min,4.3,266,"Action, Drama, Thriller            ",hindi
Premagnee,1989,-,-,-,-,kannada
Chattam,2011,120 min,-,-,Drama            ,telugu
Zindagi,2016,97 min,-,-,Drama            ,telugu
Thathamme Poocha Poocha,1984,-,-,-,"Comedy, Drama, Romance            ",malayalam
Dil Diya Hai,2006,121 min,3.5,469,"Drama, Romance, Thriller            ",hindi
Dil Hona Chahida Jawan,2018,-,-,-,Drama            ,punjabi
Bhagyada Lakshmi Baramma,1986,156 min,8.3,117,"Comedy, Drama            ",kannada
Love Today,1997,151 min,7,255,"Drama, Romance            ",tamil
Natyathara,1955,-,-,-,-,malayalam
Atkan Chatkan,2020,126 min,7.9,"1,727","Drama, Musical            ",hindi
Rong Berong,2011,-,-,-,Romance            ,bengali
Makeup Man,2011,150 min,5.2,264,Comedy            ,malayalam
Jersey,2019,157 min,8.5,"9,305","Drama, Sport            ",telugu
Annaiyin Aanai,1958,137 min,6.5,11,-,tamil
Padikkatha Methai,1960,165 min,7,31,-,tamil
Charuulata 2011,2012,130 min,5.8,117,Drama            ,bengali
Lara Lappa,1970,-,-,-,-,punjabi
Thirudargal Jagirathai,1958,-,-,-,-,tamil
Mayura,1976,-,8.6,40,Drama            ,hindi
Thittakudi,2010,140 min,-,-,Drama            ,tamil
Chinnaabbulu,1995,-,-,-,Comedy            ,telugu
Don Chera,2006,140 min,-,-,Drama            ,tamil
Annoru Ravil,1986,-,-,-,-,malayalam
Khoj,2017,116 min,6.8,447,"Crime, Mystery, Thriller            ",nepali
Krishnarajunulu,1982,163 min,5.4,14,"Action, Drama            ",telugu
PR,,-,-,-,Drama            ,punjabi
Amodini,1994,101 min,5.8,19,"Comedy, Fantasy            ",bengali
One Night Stand,I 2016,97 min,3.1,"1,143","Drama, Romance            ",hindi
Raj Tarang,1935,-,-,-,-,hindi
Jeevitham Mukhyam Binile..!,2020,5 min,-,-,"Short, Comedy            ",malayalam
Vaishali,1983,-,-,-,Comedy            ,hindi
Verdict,IV 2019,78 min,3.7,9,Mystery            ,hindi
Astu - So Be It,2013,121 min,7.3,158,"Drama, Family            ",marathi
Gahan,,112 min,-,-,Thriller            ,hindi
Sardar,1940,-,-,-,-,hindi
Meri Pyari Nimmo,1993,-,-,-,Drama            ,hindi
Bigalito Karuna Janhabi Jamuna,1972,135 min,-,-,Drama            ,bengali
Bin Roye,2016–2017,40 min,7.4,23,"Drama, Romance            ",oriya
Untitled Sathyan Biopic,,-,-,-,Biography            ,malayalam
Mukti,I 1937,139 min,6.8,16,Drama            ,bengali
London Bridge,2014,-,4.4,243,"Drama, Romance            ",malayalam
Udhari Babu,,-,-,-,"Drama, Family, Musical            ",bhojpuri
Chaudhry Badshah,1995,-,3.8,5,-,punjabi
Gopal Krishna,I 1938,132 min,6.6,10,-,hindi
Kaththukkutti,2015,120 min,-,-,Drama            ,tamil
Waiting for You,2010,73 min,-,-,-,hindi
 Traffik,1989,51 min,7.6,27,"Crime, Drama            ",urdu
Madhesi,2017,27 min,-,-,"Documentary, Short            ",nepali
Rihaee,1954,-,-,-,-,tamil
Dev,2019,157 min,4.8,877,"Action, Adventure, Romance            ",telugu
Nalai Namadhe,1975,150 min,7.9,37,Drama            ,tamil
Bharosa,1977,-,-,-,-,urdu
Aavanazhi,1986,156 min,7.3,346,"Action, Crime, Thriller            ",malayalam
Verukal Thedi,1987,-,-,-,-,malayalam
Lalettante Ichakka,2019,-,-,-,"Short, Drama            ",malayalam
Swami,2007,140 min,6.9,368,Drama            ,hindi
Maheshwari,1955,135 min,-,-,-,tamil
Sweet Romeo,1999,-,-,-,Thriller            ,hindi
Aakhri Daku,1978,-,5.6,21,Action            ,hindi
Veeramum Eeramum,2007,-,-,-,Drama            ,tamil
Nanhe Munne,1952,-,-,-,-,hindi
Ivanuku Thanila Gandam,2015,145 min,5.6,73,Comedy            ,tamil
Shabnam Mausi,2005,150 min,6.2,54,"Action, Biography, Drama            ",hindi
Playboy,1978,-,7.7,7,Musical            ,oriya
Akalathe Ambili,1985,157 min,-,-,Drama            ,malayalam
Chithira Poove,2010,-,-,-,Drama            ,tamil
Nethaji,1996,150 min,3.9,20,"Action, Romance            ",tamil
Gul Badan,1937,-,-,-,-,hindi
Ek Gumrah,2000,-,-,-,Thriller            ,hindi
Bade Dilwala,1999,146 min,3.6,"1,284","Comedy, Drama, Romance            ",hindi
Tourist Home,2013,106 min,-,-,Thriller            ,malayalam
Vidiyum Vari Kaathiru,1981,132 min,6.9,50,-,tamil
Kachhi Kali,2004,86 min,-,-,Drama            ,hindi
Jhep,1971,140 min,-,-,-,marathi
Unfriends,2019,104 min,-,-,Thriller            ,hindi
Yeh Majhdhaar,1996,139 min,3.4,348,"Drama, Romance            ",hindi
Yaari Way,2021,-,-,-,Drama            ,marathi
Kadhal Ilavasam,2015,161 min,-,-,Drama            ,tamil
Chalagaara,2017,-,-,-,Drama            ,kannada
Esthappan,1980,94 min,6.9,67,Drama            ,malayalam
Nervarennu Immani Cherinjoo.. Taa..,2018,126 min,-,-,"Drama, Romance            ",malayalam
Riingata,2015,117 min,8.4,7,"Documentary, Drama            ",nepali
Sasural,2017,161 min,-,-,"Action, Drama, Romance            ",hindi
Nulli Novikkathe,1985,-,-,-,-,malayalam
Eid Mubarak,1965,-,3.4,5,-,urdu
Annakili,1976,134 min,7.2,18,Drama            ,tamil
Star,1982,-,7.7,52,"Drama, Musical            ",hindi
Je Bho Ramrai Bho,2003,-,8.1,18,"Action, Comedy            ",nepali
Adorer Jamai,2011,146 min,4.7,12,"Comedy, Family, Romance            ",bengali
Santhosha Kanavukal,1985,-,-,-,-,tamil
Julum,1990,-,-,-,-,marathi
Uljhan,2001,-,4.7,20,Drama            ,hindi
Sragaal,2020,140 min,-,-,"Drama, History, Mystery            ",hindi
Bheema Mera Haathi,1973,-,4.4,7,Drama            ,hindi
Priyanka,1994,135 min,5.9,23,-,tamil
Ek Mahal Ho Sapno Ka,1975,-,7,64,"Drama, Family            ",hindi
Momo in Dubai,2021,-,-,-,Comedy            ,malayalam
Gunde Jaari Gallanthayyinde,2013,150 min,7.1,"1,467","Comedy, Drama, Romance            ",telugu
Maai Ke Biruwa,2018,162 min,-,-,Drama            ,bhojpuri
Ek Aadmi,1988,-,-,-,Drama            ,hindi
Mayilattam,2004,142 min,4,104,"Action, Comedy, Drama            ",malayalam
Bhale Jodi,2016,133 min,5.9,8,"Comedy, Drama            ",kannada
Kaldogbitte,2015,-,-,-,Drama            ,kannada
Guhan,2016,-,-,-,Drama            ,tamil
Ladies Doctor,1996,-,-,-,Comedy            ,telugu
Dharti Veeran Di,1965,-,-,-,Drama            ,punjabi
Ali Baba,1976,-,-,-,"Action, Adventure, Fantasy            ",hindi
Lily Bily,2018,138 min,6.4,26,"Drama, Romance            ",nepali
Jiyo To Aise Jiyo,1981,-,4.3,7,"Drama, Family            ",hindi
Mumbai's King,2012,77 min,6.4,150,Drama            ,hindi
Kahani Kismat Ki,1999,-,5.4,7,Action            ,hindi
Colors,I 2009,125 min,2.8,129,"Comedy, Drama            ",malayalam
Tum Bin 2,2016,147 min,4.8,"1,169","Drama, Romance            ",hindi
Sesh Parichaya,1957,-,-,-,Drama            ,bengali
Unmistaken Child,2008,102 min,7.5,733,Documentary            ,nepali
Anmol Ghadi,1946,122 min,7.3,62,"Drama, Musical, Romance            ",hindi
Udhayam NH4,2013,155 min,5.7,619,"Action, Thriller            ",tamil
Priya: The Charming Girl of India,2019,-,4,6,Romance            ,hindi
Anangsena,1931,-,-,-,-,hindi
Ashami Bodhu,1999,-,6.2,8,Action            ,bengali
Hejjegalu,2013,-,-,-,Drama            ,kannada
Mayer Doa,1990,144 min,-,-,"Drama, Family, Romance            ",bengali
Daah - Ek Marmsparshi Katha,2020,-,-,-,Family            ,marathi
Ek: The Power of One,2009,140 min,4.7,322,"Action, Drama, Thriller            ",hindi
Aag Aur Shola,2001,-,-,-,Action            ,hindi
Bheegi Palkain,1952,-,-,-,-,urdu
Phir Kabhi,1999,145 min,-,-,"Drama, Family            ",hindi
Lata Bhagwan Kare,2020,128 min,9.6,81,"Biography, Drama            ",marathi
Bade Ghar Ki Beti,1989,138 min,6,61,Drama            ,hindi
Enna Muthalali Sowkiyama,1972,147 min,-,-,-,tamil
Srimathi Kaavali,1984,-,8.6,41,-,telugu
Nandanam,2002,145 min,7.3,782,"Comedy, Drama, Romance            ",malayalam
Mangalsutra,1968,145 min,-,-,-,marathi
Shatamanam Bhavati,2017,129 min,7,"1,164",Drama            ,telugu
Kuttikalundu Sookshikkuka,2016,130 min,6.5,20,"Drama, Family            ",malayalam
Naa,1971,-,3.8,9,Animation            ,hindi
Puthiya Niyamam,2016,132 min,6.5,"1,474","Mystery, Thriller            ",malayalam
Ustaad Gulaab Aur Tabla,2017,11 min,-,-,"Documentary, Short            ",urdu
Adam Ka Janam,1989,-,6.4,5,Drama            ,hindi
Shatranj,1969,168 min,6.1,32,"Thriller, Mystery            ",hindi
ZERO Made in india,2016,157 min,9.1,26,Drama            ,kannada
Thikla Kambaniya Kathe,2017,141 min,-,-,Drama            ,kannada
Parisu,1963,-,6.7,7,-,tamil
Chaarulatha,2012,116 min,5.3,129,"Horror, Thriller            ",malayalam
Maaya Modalaye,,-,-,-,Romance            ,telugu
Adi Shastra,1998,-,-,-,Action            ,hindi
Mukkaddar,2021,-,-,-,Romance            ,punjabi
Zulmi,1999,129 min,4.5,643,"Action, Drama            ",hindi
Agni Sanskar,1961,117 min,6.9,16,Drama            ,bengali
Kendasampige,2015,99 min,8.3,"1,863","Romance, Thriller            ",kannada
Nasibo,1994,-,7.9,7,Action            ,punjabi
Sakala Kalasala,2019,132 min,6.8,756,Comedy            ,malayalam
OMG: Oh My God!,2012,125 min,8.1,"52,431","Comedy, Drama, Fantasy            ",hindi
Pipsi: A Bottle Full of Hope,2018,98 min,8.8,15,"Drama, Family            ",marathi
Maidan,1968,-,-,-,-,punjabi
Hume Toh Loot Liya,2016,-,-,-,Comedy            ,hindi
Chidambaram Railway Gate,2021,-,-,-,Drama            ,tamil
Nirala,1950,-,6.6,30,"Drama, Romance, Thriller            ",gujarati
Jabiliamma Pelli,1996,-,-,-,Family            ,telugu
Pramukhan,2009,125 min,2,6,Drama            ,malayalam
Padri,2005,-,-,-,Drama            ,konkani
Yeh Laal Rang,2005,-,-,-,Thriller            ,hindi
Raja Makutam,I 1959,179 min,6.6,9,"Action, Drama, Romance            ",telugu
Parineeta,2005,130 min,7.2,"8,805","Drama, Musical, Romance            ",hindi
A YouTube Love Story,2016,-,-,-,Comedy            ,punjabi
Nadee Nadanmare Aavashyamunde,1974,-,-,-,-,malayalam
Allad,1995,-,-,-,-,hindi
Beautiful Manasugalu,2017,110 min,7.7,131,"Drama, Romance, Thriller            ",kannada
