Movie Name,Year,Timing(min),Rating(10),Votes,Genre,Language
Gopichand Jasoos,1982,150 min,5.9,123,"Comedy, Thriller            ",hindi
Vikrant Rona,2021,-,-,-,"Action, Adventure, Fantasy            ",kannada
Joy: The Real Love Story,2007,127 min,2.1,"1,601","Drama, Romance, Thriller            ",hindi
Dharavi,1992,120 min,7.1,282,"Crime, Drama            ",hindi
Kamadhenu,1976,-,-,-,-,malayalam
Sansarer Itikatha,1983,-,-,-,Drama            ,bengali
Shani Arshad: Adha Adha,2019 Video,5 min,-,-,"Short, Music            ",urdu
Noces,2016,98 min,7.1,"1,360",Drama            ,oriya
Tu Heer Main Tera Hero,2021 TV Movie,-,-,-,Comedy            ,urdu
Madi Veetu Ezhai,1981,-,-,-,-,tamil
Khoobsurat Kali,2003,-,-,-,Thriller            ,hindi
Puthayal,1997,144 min,5.9,51,-,tamil
Urimai,1985,-,-,-,-,tamil
Babai Abbai,1984,117 min,6.3,102,"Comedy, Romance            ",telugu
Yaar Meri Zindagi,2008,-,4.8,39,"Drama, Family, Musical            ",hindi
Denied: A Life Confined,2013 TV Movie,22 min,-,-,Documentary            ,nepali
Jhoomar,2007,-,6.9,7,-,oriya
Hututu,2014,138 min,5,5,Comedy            ,marathi
Parchhaeen,1989,-,-,-,Thriller            ,hindi
Chettathi,1965,-,-,-,-,kannada
Sharda,1981,126 min,5.5,19,"Drama, Family            ",hindi
Satyanweshi Byomkesh,2019,108 min,6.5,267,"Crime, Mystery, Thriller            ",bengali
Mahan,1996,132 min,6,8,"Drama, Family            ",bengali
Takht-O-Taj,1970,-,-,-,-,urdu
Death Match,II,-,-,-,"Action, Adventure, Thriller            ",nepali
Kanthaswamy,2009,190 min,5,"1,567","Action, Crime            ",tamil
Vishwa Thulasi,2004,-,6.1,32,"Drama, Musical, Romance            ",tamil
Saakshyam,2018,166 min,4.7,437,Action            ,telugu
Circus Queen,1959,-,-,-,Action            ,hindi
"Haseena: Smart, Sexy, Dangerous",2006,-,-,-,Thriller            ,hindi
